Date,Open,High,Low,Close,Volume
03-Aug-22,475,476.25,459.6,467.8,"19,125,906"
02-Aug-22,478.9,479.9,469.25,476.25,"19,065,689"
01-Aug-22,451.95,481,451.05,479.2,"43,084,536"
29-Jul-22,445.15,452.7,445.15,449.6,"16,004,096"
28-Jul-22,440.25,449.25,427.4,442.25,"36,380,444"
27-Jul-22,441.15,445,436.1,444.05,"10,081,023"
26-Jul-22,448.7,448.7,439.75,441.15,"11,563,528"
25-Jul-22,456,457.6,446.3,449.55,"12,505,062"
22-Jul-22,456.6,459.95,452.3,454.9,"10,340,910"
21-Jul-22,452.95,455.5,450.1,454.85,"10,931,800"
20-Jul-22,454.35,460.75,451.75,453.45,"17,154,184"
19-Jul-22,446.75,451.85,444.45,449.05,"11,553,440"
18-Jul-22,443.95,453.8,443.2,450.9,"21,185,764"
15-Jul-22,430.65,441.75,429.7,440.2,"15,774,084"
14-Jul-22,428,431.25,423.3,428.05,"10,744,547"
13-Jul-22,432.7,435.85,425.65,427.1,"10,181,698"
12-Jul-22,433,435,428.15,430.55,"9,518,822"
11-Jul-22,438.05,441.2,433.45,437.05,"12,619,654"
08-Jul-22,436.25,443.85,429.3,441.55,"23,730,027"
07-Jul-22,419.9,432.95,419.3,430.85,"17,616,800"
06-Jul-22,414,417.3,410.65,416.35,"12,196,920"
05-Jul-22,415,418.8,410.2,412,"16,771,012"
04-Jul-22,411.55,414.9,405,408.45,"11,525,133"
01-Jul-22,410.65,414.6,402.3,412.7,"14,725,989"
30-Jun-22,418.3,424,410,411.8,"20,121,916"
29-Jun-22,412.05,419.9,411.55,416.95,"13,104,313"
28-Jun-22,411.3,418.2,409.15,417.1,"13,238,339"
27-Jun-22,417.55,419.45,412.35,414.5,"12,018,949"
24-Jun-22,410,412.85,406.15,409.3,"14,806,456"
23-Jun-22,396.3,409.9,394.55,407.2,"26,514,004"
22-Jun-22,396.4,397,390.5,393.1,"12,426,604"
21-Jun-22,389,399,387,397.6,"14,743,366"
20-Jun-22,390.55,392.95,376.65,382.7,"17,049,013"
17-Jun-22,387.95,394.45,382.65,388.95,"24,824,899"
16-Jun-22,420,420.9,390.1,392.95,"22,261,032"
15-Jun-22,410,416.4,407.45,414.1,"15,192,826"
14-Jun-22,403,411.85,397.7,405.15,"19,626,627"
13-Jun-22,414.9,418.15,405.6,406.7,"17,442,641"
10-Jun-22,423,428.85,422,428.05,"11,914,234"
09-Jun-22,431.9,435.65,426.1,428.5,"13,043,367"
08-Jun-22,438.7,440.4,432,435.65,"12,844,475"
07-Jun-22,432.5,438.2,429.1,435.85,"11,153,869"
06-Jun-22,427.9,433.95,424.6,432.35,"11,896,105"
03-Jun-22,444.9,445.05,430.5,431.9,"12,780,122"
02-Jun-22,445,445.6,435.65,439.15,"12,742,438"
01-Jun-22,445.1,446,439.6,444.6,"11,930,669"
31-May-22,443.95,449.5,440.4,443.55,"22,308,219"
30-May-22,437,445.2,436,442.4,"18,500,266"
27-May-22,426.05,433.25,425.2,429.6,"16,867,431"
26-May-22,422,422.65,405,420.65,"17,712,299"
25-May-22,428.45,429,413.45,417,"13,540,006"
24-May-22,423.9,427.5,416,425.75,"14,525,617"
23-May-22,421.65,431.15,419.55,421.45,"16,345,308"
20-May-22,410,421.4,410,418,"23,504,236"
19-May-22,400,406.8,396.2,398.65,"17,706,724"
18-May-22,424,427.35,414.05,415.15,"20,490,516"
17-May-22,408.4,425.65,405,424.15,"24,651,585"
16-May-22,411.9,411.9,396.25,405.35,"24,938,704"
13-May-22,387,419.35,387,404.3,"71,425,747"
12-May-22,382,384.65,366.2,372.3,"33,511,538"
11-May-22,396,397,377.55,388.15,"29,215,175"
10-May-22,400,408.5,389.6,391.75,"16,540,303"
09-May-22,407.15,407.4,395,403.95,"18,076,956"
06-May-22,418.85,420.2,407,408.55,"25,142,225"
05-May-22,429,434,423.7,426.3,"12,240,729"
04-May-22,437.95,440.6,420.7,423.5,"14,934,742"
02-May-22,437.95,442.95,428.5,432.85,"18,945,234"
29-Apr-22,440.2,447.75,436,437.6,"21,991,752"
28-Apr-22,434.8,439.2,430.8,436.05,"13,875,650"
27-Apr-22,429.25,432.95,425.1,430.25,"13,701,069"
26-Apr-22,433.9,437.45,431.6,434.9,"13,577,513"
25-Apr-22,432.75,436,423.15,425.15,"14,729,009"
22-Apr-22,442.05,447.25,438,438.85,"14,362,036"
21-Apr-22,444.5,449.35,441.05,448.05,"14,124,872"
20-Apr-22,431,441.7,428.25,440.55,"19,639,290"
19-Apr-22,436.75,440.25,417,424.95,"12,669,041"
18-Apr-22,430,436.35,423.65,433.8,"15,298,361"
13-Apr-22,441.8,442.85,430.1,431.05,"16,817,981"
12-Apr-22,450.8,450.8,435,438.3,"22,698,696"
11-Apr-22,457,458.9,451,452.05,"14,339,854"
08-Apr-22,450,456.25,449.7,452.05,"16,315,704"
07-Apr-22,456.5,459.1,448.5,449.5,"19,950,241"
06-Apr-22,455.9,462.7,452.6,456.15,"24,974,477"
05-Apr-22,450,461.9,448.3,458.05,"28,530,470"
04-Apr-22,444.4,449.5,441.3,446.75,"18,657,201"
01-Apr-22,434,442.25,430.85,441.15,"19,380,324"
31-Mar-22,436,438.3,432.6,433.75,"14,248,045"
30-Mar-22,438.45,442.5,434.25,435.65,"18,149,488"
29-Mar-22,436,439.35,431.4,433.7,"18,710,736"
28-Mar-22,432,434.95,426.5,432.7,"16,757,901"
25-Mar-22,437,437,427.65,432.1,"15,104,414"
24-Mar-22,430,435.4,427.55,433.2,"17,109,723"
23-Mar-22,443.5,447,434.6,435.8,"25,466,395"
22-Mar-22,428.1,441.45,421.2,440.35,"30,441,493"
21-Mar-22,435.5,436.3,427.1,427.95,"18,270,995"
17-Mar-22,432,435.7,429.55,433.8,"26,704,541"
16-Mar-22,427.05,428.55,420.7,424.9,"27,191,170"
15-Mar-22,409.85,424.2,408,413.65,"47,706,136"
14-Mar-22,418.75,419,404,411.7,"40,721,277"
11-Mar-22,413.6,421.15,407.4,418.15,"51,510,243"
10-Mar-22,427,434.95,414,419.6,"59,776,817"
09-Mar-22,394.95,409.25,389.5,405.9,"48,376,222"
08-Mar-22,390.5,395.45,376.35,391.75,"55,543,383"
07-Mar-22,401.75,401.75,387.5,394,"44,836,205"
04-Mar-22,431.85,431.85,414.75,417.25,"38,765,185"
03-Mar-22,458.5,458.5,435,437.1,"29,599,672"
02-Mar-22,452.95,454.25,444.55,447.6,"25,791,134"
28-Feb-22,445,457.35,440.45,454.05,"34,475,468"
25-Feb-22,444.85,465.7,441.6,459.75,"48,876,182"
24-Feb-22,455.95,461.55,405.45,427.95,"57,265,685"
23-Feb-22,481.75,485.4,475.3,477,"17,703,998"
22-Feb-22,480.55,486.3,471.45,478.25,"27,957,544"
21-Feb-22,490.15,500.4,486.1,494.45,"22,592,161"
18-Feb-22,498,502.65,491.5,493.15,"15,476,803"
17-Feb-22,505.9,511.5,498.3,499.95,"27,943,077"
16-Feb-22,504,507.9,496.6,498.45,"20,176,993"
15-Feb-22,476.15,505.5,467.3,504,"30,623,088"
14-Feb-22,487,488.5,468.8,471.45,"22,157,389"
11-Feb-22,503.25,507,497,498.85,"13,534,899"
10-Feb-22,506.7,510.5,504.2,507.45,"14,537,945"
09-Feb-22,496.5,503.7,494.7,501.25,"12,430,730"
08-Feb-22,498,498.5,479.15,492.75,"23,378,623"
07-Feb-22,502.9,504.35,492.5,494.6,"13,392,910"
04-Feb-22,503.8,507.8,499,500.6,"12,663,199"
03-Feb-22,509.1,514.3,502.85,504.5,"15,249,245"
02-Feb-22,508.6,514.45,505.15,506.4,"14,311,040"
01-Feb-22,508,514.75,493,504.3,"48,030,231"
31-Jan-22,505,520,498.2,517.75,"27,306,578"
28-Jan-22,500.5,509.35,495.3,497.3,"21,784,640"
27-Jan-22,480.75,502.7,476.6,494.4,"26,676,094"
25-Jan-22,473.8,492.5,467.65,490.55,"22,565,698"
24-Jan-22,499.7,504.3,473.35,478.45,"25,228,959"
21-Jan-22,510.4,513.85,494.25,501.85,"17,946,821"
20-Jan-22,519.95,523.2,512,515.7,"18,364,451"
19-Jan-22,510,522.2,504.8,520.85,"21,799,071"
18-Jan-22,527.9,528.5,507.15,510.8,"19,353,195"
17-Jan-22,514.8,526.9,512,525,"27,942,414"
14-Jan-22,509,515.4,505.65,509.9,"12,655,602"
13-Jan-22,504,513.8,494.8,511.95,"27,572,553"
12-Jan-22,505.85,511.85,503.5,507.25,"16,255,334"
11-Jan-22,503,507.9,498.15,501.3,"16,269,193"
10-Jan-22,493.1,504.9,491.3,503.7,"25,193,771"
07-Jan-22,490.05,495.5,483.75,490.6,"15,532,165"
06-Jan-22,481.5,492.95,477.1,488.85,"16,563,230"
05-Jan-22,486.95,492.75,483.55,489.75,"15,420,105"
04-Jan-22,496.8,499,484.05,489.6,"24,100,985"
03-Jan-22,493.5,500.85,492,497.6,"32,748,423"
31-Dec-21,472.7,483.6,471.85,482.4,"15,541,446"
30-Dec-21,472.55,476.4,468.6,470.4,"11,923,961"
29-Dec-21,478.75,481.6,474.25,476,"10,263,884"
28-Dec-21,475.2,482.8,472.65,480.2,"22,860,916"
27-Dec-21,465.7,472.45,460.1,471.15,"12,557,565"
24-Dec-21,474.9,474.9,460,467.6,"15,487,368"
23-Dec-21,476,478,470.95,472.35,"12,116,814"
22-Dec-21,458.15,472.15,458.15,470.5,"22,730,750"
21-Dec-21,452.1,460.9,449.85,453.6,"18,838,054"
20-Dec-21,459.9,460,440,447.05,"33,007,516"
17-Dec-21,488,488.85,468.2,470.2,"27,341,178"
16-Dec-21,495,496.5,487.4,491.95,"13,581,352"
15-Dec-21,487.8,497.7,487.25,491.65,"16,263,723"
14-Dec-21,491.95,491.95,483.3,489.4,"17,722,547"
13-Dec-21,499.45,506.4,494.2,495.35,"21,921,272"
10-Dec-21,487.75,496.8,486.55,494.45,"14,567,815"
09-Dec-21,498,498.5,489.55,493.95,"16,951,593"
08-Dec-21,484.5,495.95,483.5,493.9,"20,581,817"
07-Dec-21,476.85,484.9,471,481.8,"21,280,797"
06-Dec-21,480.1,480.9,466,467.2,"17,473,075"
03-Dec-21,480,484.7,477.3,480.1,"20,948,900"
02-Dec-21,479.4,480.45,471.7,479.1,"21,012,008"
01-Dec-21,467.85,478.4,463.55,475.25,"28,256,188"
30-Nov-21,466.55,478,455.65,458.6,"35,471,800"
29-Nov-21,457,470.75,443.1,461.45,"42,819,150"
26-Nov-21,486,486.75,458,460.2,"51,787,989"
25-Nov-21,490.8,495.15,486.5,492.75,"15,336,539"
24-Nov-21,499,501.8,485.3,488.65,"20,915,837"
23-Nov-21,484.4,499.35,477,495.5,"27,553,684"
22-Nov-21,512.25,512.25,478.4,486.1,"40,044,849"
18-Nov-21,531.45,534.2,501.3,509.7,"47,197,742"
17-Nov-21,520.25,536.7,520.25,530.15,"48,463,415"
16-Nov-21,506.9,526.85,506.2,519.05,"55,897,781"
15-Nov-21,506.25,514.9,504.5,505.45,"18,014,977"
12-Nov-21,506.95,509.55,497.35,507.05,"20,731,808"
11-Nov-21,510,519,501,503.45,"29,256,213"
10-Nov-21,506.25,515.95,500.2,510.75,"26,615,777"
09-Nov-21,505,520.65,503.5,509.65,"50,458,762"
08-Nov-21,493.9,504.85,490.25,501.4,"31,736,426"
04-Nov-21,489.8,493.55,488,489.7,"5,531,940"
03-Nov-21,483.8,495,481.6,484.9,"22,950,198"
02-Nov-21,506.5,510,486.5,487.85,"51,580,720"
01-Nov-21,486.45,489.7,469.8,485.7,"34,315,690"
29-Oct-21,482,491.6,467.7,483.7,"31,054,342"
28-Oct-21,493.9,493.9,478.55,481.05,"25,182,748"
27-Oct-21,505.75,506.55,496,497.9,"30,361,263"
26-Oct-21,483.5,510,483.25,508.65,"58,027,770"
25-Oct-21,493.9,496,473.25,479.9,"33,107,841"
22-Oct-21,509.9,510.7,487.4,490.9,"42,742,785"
21-Oct-21,491.75,510.4,485.75,508,"52,608,672"
20-Oct-21,481.8,497,471.25,486.9,"55,444,814"
19-Oct-21,512.45,517.4,476.05,481.9,"57,428,637"
18-Oct-21,507,525,503.6,509.6,"72,322,623"
14-Oct-21,530,530,492,497.6,"103,630,901"
13-Oct-21,462.9,523.85,462.9,506.9,"197,949,387"
12-Oct-21,423,435.7,413.6,420.85,"97,349,265"
11-Oct-21,390.15,420.9,388,415.75,"113,404,983"
08-Oct-21,385.9,397.55,380,382.95,"93,728,117"
07-Oct-21,341.1,383,339.25,376.5,"163,238,084"
06-Oct-21,347,348.7,335,336.05,"25,272,592"
05-Oct-21,340.45,351.5,338.85,344.95,"31,861,985"
04-Oct-21,336.8,343.25,335.15,342,"29,553,072"
01-Oct-21,332.65,337.3,325.7,333.3,"29,877,695"
30-Sep-21,331.25,337.9,329.1,333.35,"30,268,517"
29-Sep-21,325,333,324,330.25,"19,740,150"
28-Sep-21,334,336,324.5,329.3,"28,497,009"
27-Sep-21,323.15,333.6,323.15,331.65,"56,305,136"
24-Sep-21,325.1,326.95,316.05,317.95,"28,901,243"
23-Sep-21,313.2,324,313.2,321.5,"52,701,665"
22-Sep-21,303.15,313.8,303,310.1,"29,545,253"
21-Sep-21,298.6,302.7,293.1,301.95,"19,439,330"
20-Sep-21,304.9,310.25,297.3,298.95,"19,632,688"
17-Sep-21,312,315.35,306,308.6,"24,972,069"
16-Sep-21,313.4,315,307.65,311.65,"26,249,369"
15-Sep-21,306.1,313,306.1,311.95,"26,808,872"
14-Sep-21,302.25,307.2,302.2,306.1,"23,234,649"
13-Sep-21,299,302,295.5,301.2,"16,339,860"
09-Sep-21,294,303.5,293.55,298.95,"34,020,970"
08-Sep-21,293.5,298.8,291.6,295.25,"14,920,479"
07-Sep-21,297.35,297.8,290.9,294.6,"14,325,904"
06-Sep-21,297.5,298.95,296,297.45,"16,622,865"
03-Sep-21,292.5,296.45,292,295.55,"16,594,135"
02-Sep-21,295.25,296.3,291.7,293.15,"14,907,001"
01-Sep-21,289,297.4,287.3,295.25,"33,103,168"
31-Aug-21,291.75,291.95,286.1,287.3,"36,951,003"
30-Aug-21,290.1,293.5,289.9,291.95,"17,217,097"
27-Aug-21,282.9,286.8,281.7,285.75,"13,477,390"
26-Aug-21,284.85,287.35,281.65,284.3,"17,864,053"
25-Aug-21,282.8,289.2,282.45,284.4,"31,538,128"
24-Aug-21,278.5,281.5,268.45,279.8,"37,589,121"
23-Aug-21,287.2,288.3,275,276.95,"24,498,294"
20-Aug-21,289.5,290.7,281,283.1,"32,578,752"
18-Aug-21,296.9,297.75,292.6,293.35,"18,004,320"
17-Aug-21,302.8,302.8,292.8,297.7,"25,539,214"
16-Aug-21,305.95,307.85,303.05,303.7,"14,348,786"
13-Aug-21,308.8,311.5,303.05,307.25,"34,922,863"
12-Aug-21,297.3,307.4,297.3,306,"33,652,880"
11-Aug-21,295.3,297.8,286.45,295.45,"20,802,022"
10-Aug-21,297.9,300.2,291,294.2,"15,173,990"
09-Aug-21,300.75,304.2,296.05,298.1,"16,985,859"
06-Aug-21,300.05,303.4,297.65,300.05,"16,001,898"
05-Aug-21,295.5,300.9,292.75,299.7,"20,704,901"
04-Aug-21,304.75,306.45,297.2,298.15,"26,186,248"
03-Aug-21,298.5,304.5,297.7,303.7,"31,063,992"
02-Aug-21,299.15,299.4,295.6,296.85,"19,273,390"
30-Jul-21,294,300,293.25,293.95,"30,589,609"
29-Jul-21,287.55,295.4,287.55,292.9,"57,733,359"
28-Jul-21,290,290.9,283.6,284.45,"36,139,725"
27-Jul-21,293,297.65,288.6,291.4,"55,132,877"
26-Jul-21,295,297,291,293.15,"27,502,360"
23-Jul-21,300.5,301.9,295,295.55,"33,435,130"
22-Jul-21,305.5,307.45,301.05,302.55,"21,338,361"
20-Jul-21,307,308,301.05,302.15,"27,672,567"
19-Jul-21,308.95,310.3,306,308.85,"21,346,348"
16-Jul-21,311.1,315.45,310.5,311.25,"25,148,606"
15-Jul-21,310.5,312.85,307.6,310.25,"23,617,599"
14-Jul-21,310,313.3,308.65,309.55,"21,863,250"
13-Jul-21,310,312.25,308.15,310.95,"25,736,308"
12-Jul-21,310.8,312,306.1,307.45,"32,282,319"
09-Jul-21,305.8,308.85,301.85,306.3,"48,807,214"
08-Jul-21,314.8,314.8,305,306.35,"87,360,324"
07-Jul-21,316,319.1,306.25,317.1,"112,183,313"
06-Jul-21,348,358.2,311.5,316.9,"164,083,830"
05-Jul-21,347.05,350.1,344,346.1,"18,399,524"
02-Jul-21,345.3,345.55,340.5,344.9,"18,304,387"
01-Jul-21,341.5,347.4,341.2,344.25,"27,944,816"
30-Jun-21,342,345.35,338.85,339.6,"18,277,841"
29-Jun-21,342.65,346.5,339.6,341.55,"22,462,297"
28-Jun-21,340.8,345,337.55,342.8,"17,843,975"
25-Jun-21,335.9,342.8,335.9,339.65,"22,426,352"
24-Jun-21,335,337.4,333.35,334.65,"15,580,223"
23-Jun-21,341,343.25,334.3,335.25,"25,741,628"
22-Jun-21,337.1,344.3,336.15,337.9,"26,708,459"
